t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
1.340000000000000080e+00,4.413462756940393028e+00,4.282173131588738357e+00,4.282173131588738357e+00,4.282173131588738357e+00,1.307931367800285738e+00,1.307931367800285738e+00,1.602993680528017606e-01,1.312896253516546707e-01,1.999592809387289727e-01,1.571758624403203630e-02,-5.537749912995926227e-02
1.360000000000000098e+00,4.859656349590771640e+00,4.307110655590841830e+00,4.307110655590841830e+00,4.307110655590841830e+00,1.246876200105167198e+00,1.246876200105167198e+00,6.973796908491001201e-01,5.525456939999298100e-01,7.334036868625822825e-01,1.576724980078021005e-02,-5.179124581426244184e-02
1.380000000000000115e+00,4.572487770854698041e+00,4.330162719691924345e+00,4.330162719691924345e+00,4.330162719691924345e+00,1.152603205054126390e+00,1.152603205054126390e+00,3.041462495947590550e-01,2.423250511627736969e-01,3.370289363850973996e-01,1.579007223269290189e-02,-4.867275902303123958e-02
1.400000000000000133e+00,7.444286563087453068e+00,4.358760466000412670e+00,4.358760466000412670e+00,4.358760466000412670e+00,1.429887315424422267e+00,1.429887315424422267e+00,3.925444308757085832e+00,3.085526097087040398e+00,3.954937281112321568e+00,1.605788688322491720e-02,-4.555085923846095841e-02
1.419999999999999929e+00,4.730240228579113193e+00,4.385381921385030246e+00,4.385381921385030246e+00,4.385381921385030246e+00,1.331072769230900787e+00,1.331072769230900787e+00,4.417418534892064708e-01,3.448583071940829470e-01,4.717792984749496488e-01,1.608983414280668392e-02,-4.612727912854985846e-02
1.439999999999999947e+00,4.469857107230417625e+00,4.409496899240908263e+00,4.409496899240908263e+00,4.409496899240908263e+00,1.205748892793901295e+00,1.205748892793901295e+00,7.783400486090691350e-02,6.036020798950936239e-02,1.072834860236419746e-01,1.609709900878938602e-02,-4.554658017152445060e-02
1.459999999999999964e+00,4.303713953042908713e+00,4.430876082901021640e+00,4.430876082901021640e+00,4.430876082901021640e+00,1.068959183005677493e+00,1.068959183005677493e+00,-1.621482050883374382e-01,-1.271621298581129267e-01,-1.343443416714594218e-01,1.608800167541635934e-02,-4.389186509229436872e-02
1.479999999999999982e+00,4.408091573446317746e+00,4.450008909266404800e+00,4.450008909266404800e+00,4.450008909266404800e+00,9.566413182691697603e-01,9.566413182691697603e-01,-5.421946435940010189e-02,-4.191733582008705383e-02,-2.893632700747394634e-02,1.608800167541635934e-02,-4.137113902734251836e-02
1.500000000000000000e+00,4.697514281343781128e+00,4.467812359324902616e+00,4.467812359324902616e+00,4.467812359324902616e+00,8.901725029249110133e-01,8.901725029249110133e-01,2.919531648265824009e-01,2.297019220188785127e-01,3.143318225382679687e-01,1.610928713741501331e-02,-3.848794484910057767e-02
1.520000000000000018e+00,4.593891938318996893e+00,4.484116331409111034e+00,4.484116331409111034e+00,4.484116331409111034e+00,8.151986042104405472e-01,8.151986042104405472e-01,1.404335157802059086e-01,1.097756069098858589e-01,1.601210653224997282e-01,1.612012998120850374e-02,-3.580767952350231986e-02
1.540000000000000036e+00,4.806992367473277739e+00,4.499575937703613526e+00,4.499575937703613526e+00,4.499575937703613526e+00,7.729803147251379514e-01,7.729803147251379514e-01,3.930157093574143667e-01,3.074164297696642123e-01,4.100525658014917418e-01,1.614789732031002290e-02,-3.318475376438741881e-02
1.560000000000000053e+00,4.983229450580528130e+00,4.514688585851279079e+00,4.514688585851279079e+00,4.514688585851279079e+00,7.556324073832607624e-01,7.556324073832607624e-01,5.995012413063655066e-01,4.685408647292490514e-01,6.142399613536815295e-01,1.618949152241743600e-02,-3.092821156973343463e-02
1.580000000000000071e+00,5.103046323138412887e+00,4.529758526323710122e+00,4.529758526323710122e+00,4.529758526323710122e+00,7.534970236215480233e-01,7.534970236215480233e-01,7.342785697661331490e-01,5.732877968147027659e-01,7.472143263546598968e-01,1.624009028782412781e-02,-2.917584687635085133e-02
1.600000000000000089e+00,4.717589563284314558e+00,4.543775220223954747e+00,4.543775220223954747e+00,4.543775220223954747e+00,7.008346950122186225e-01,7.008346950122186225e-01,2.268737375282540991e-01,1.738143430603598105e-01,2.385454169399676416e-01,1.625624375700273835e-02,-2.792792316871625657e-02
1.620000000000000107e+00,4.967103066788930654e+00,4.557445023044792265e+00,4.557445023044792265e+00,4.557445023044792265e+00,6.834901410418871004e-01,6.834901410418871004e-01,5.273891553089035122e-01,4.096580437441383893e-01,5.376263651375193797e-01,1.629264995180732672e-02,-2.652985978042320461e-02
1.640000000000000124e+00,4.937129181808695755e+00,4.570694137025083315e+00,4.570694137025083315e+00,4.570694137025083315e+00,6.624556990145529234e-01,6.624556990145529234e-01,4.731457207685451638e-01,3.664350447836124403e-01,4.821988816301574499e-01,1.632530278946102073e-02,-2.537846365107332761e-02
1.660000000000000142e+00,5.095393145076671182e+00,4.583935089974969124e+00,4.583935089974969124e+00,4.583935089974969124e+00,6.620476474942710299e-01,6.620476474942710299e-01,6.583751838117337662e-01,5.114580551017020582e-01,6.663677402255165916e-01,1.637042690415345739e-02,-2.436298331793627231e-02
1.679999999999999938e+00,5.139160081029826799e+00,4.597247759293868974e+00,4.597247759293868974e+00,4.597247759293868974e+00,6.656334659449893998e-01,6.656334659449893998e-01,6.979058320014549510e-01,5.419123217359578248e-01,7.051357386396692739e-01,1.641817625338417436e-02,-2.364808289159852500e-02
1.699999999999999956e+00,7.489187583281049498e+00,4.616561655865273117e+00,4.616561655865273117e+00,4.616561655865273117e+00,9.656948285701939527e-01,9.656948285701939527e-01,3.666247092197035151e+00,2.872625927415776381e+00,3.672763576463719204e+00,1.666688307824707241e-02,-2.318336734493109397e-02
1.719999999999999973e+00,5.203936417356359811e+00,4.635417836113071566e+00,4.635417836113071566e+00,4.635417836113071566e+00,9.428090123899149910e-01,9.428090123899149910e-01,7.368366667674043358e-01,5.685185812432882457e-01,7.459659470936801373e-01,1.671739730773530441e-02,-2.584667763401102963e-02
1.739999999999999991e+00,5.241270920619411022e+00,4.653905838067867506e+00,4.653905838067867506e+00,4.653905838067867506e+00,9.244000977398078023e-01,9.244000977398078023e-01,7.587198658888426595e-01,5.873650825515435159e-01,7.694334173230511498e-01,1.676950067300285105e-02,-2.748305210721134831e-02
1.760000000000000009e+00,5.058252632594686382e+00,4.671548798911380196e+00,4.671548798911380196e+00,4.671548798911380196e+00,8.821480421756126011e-01,8.821480421756126011e-01,5.018795420978557908e-01,3.867038336833061862e-01,5.135204290490600343e-01,1.680427449733215908e-02,-2.844516144853632272e-02
1.780000000000000027e+00,5.273061966069372275e+00,4.688931623509353663e+00,4.688931623509353663e+00,4.688931623509353663e+00,8.691412298986825880e-01,8.691412298986825880e-01,7.520799194063129134e-01,5.841303425600186117e-01,7.639217222906499183e-01,1.685600462970774510e-02,-2.869780751404474653e-02
1.800000000000000044e+00,5.320113002416016812e+00,4.706155696698590241e+00,4.706155696698590241e+00,4.706155696698590241e+00,8.612036594618277530e-01,8.612036594618277530e-01,7.897655255301337940e-01,6.139573057174265713e-01,8.016003512114622254e-01,1.691028622829371733e-02,-2.874511190962211055e-02
1.820000000000000062e+00,5.226492495093415513e+00,4.722955529773641636e+00,4.722955529773641636e+00,4.722955529773641636e+00,8.399916537525858873e-01,8.399916537525858873e-01,6.490836023694085410e-01,5.035369653197738771e-01,6.608277339614281320e-01,1.695503519295567252e-02,-2.869916678497529475e-02
1.840000000000000080e+00,5.381154669128282109e+00,4.739724317168545475e+00,4.739724317168545475e+00,4.739724317168545475e+00,8.384393697451748562e-01,8.384393697451748562e-01,8.244688136784753540e-01,6.414303519597366332e-01,8.359129069803934442e-01,1.701164031894017090e-02,-2.845573362085830268e-02
