t_s,x_meas_cm,x_true_cm,v_true_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
1.620000000000000107e+00,4.829893668896137804e+00,4.829893668896137804e+00,5.345674864726056574e-01,2.711965212499714006e-01,1.701063311038621961e-01,2.711965212499714006e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.640000000000000124e+00,4.840026202645955955e+00,4.840026202645955955e+00,5.066266874909244322e-01,2.551594966557932942e-01,1.599737973540440450e-01,2.551594966557932942e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.660000000000000142e+00,4.849625404412854834e+00,4.849625404412854834e+00,4.799600883449385846e-01,2.399606960310660675e-01,1.503745955871451656e-01,2.399606960310660675e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.679999999999999938e+00,4.858715809789825535e+00,4.858715809789825535e+00,4.545202688485164844e-01,2.255618933807177484e-01,1.412841902101744651e-01,2.255618933807177484e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.699999999999999956e+00,4.867321027199729144e+00,4.867321027199729144e+00,4.302608704951910168e-01,2.119262853152616977e-01,1.326789728002708557e-01,2.119262853152616977e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.719999999999999973e+00,4.875463759787043827e+00,4.875463759787043827e+00,4.071366293657125435e-01,1.990184592004062836e-01,1.245362402129561730e-01,1.990184592004062836e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.739999999999999991e+00,4.883165827836265294e+00,4.883165827836265294e+00,3.851034024610847095e-01,1.868043603194342595e-01,1.168341721637347064e-01,1.868043603194342595e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.760000000000000009e+00,4.890448191597055683e+00,4.890448191597055683e+00,3.641181880395364390e-01,1.752512582456020596e-01,1.095518084029443173e-01,1.752512582456020596e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.780000000000000027e+00,4.897330974406975734e+00,4.897330974406975734e+00,3.441391404960244538e-01,1.643277126044164760e-01,1.026690255930242657e-01,1.643277126044164760e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000044e+00,4.903833486012683096e+00,4.903833486012683096e+00,3.251255802853756371e-01,1.540035383895363985e-01,9.616651398731690392e-02,1.540035383895363985e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.820000000000000062e+00,4.909974245999781495e+00,4.909974245999781495e+00,3.070379993549355868e-01,1.442497709809753559e-01,9.002575400021850527e-02,1.442497709809753559e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.840000000000000080e+00,4.915771007250170577e+00,4.915771007250170577e+00,2.898380625194748039e-01,1.350386310003277579e-01,8.422899274982942330e-02,1.350386310003277579e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.860000000000000098e+00,4.921240779353770911e+00,4.921240779353770911e+00,2.734886051800017315e-01,1.263434891247441350e-01,7.875922064622908891e-02,1.263434891247441350e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.880000000000000115e+00,4.926399851908949579e+00,4.926399851908949579e+00,2.579536277589359328e-01,1.181388309693436334e-01,7.360014809105042133e-02,1.181388309693436334e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000133e+00,4.931263817652883574e+00,4.931263817652883574e+00,2.431982871966998916e-01,1.104002221365756320e-01,6.873618234711642572e-02,1.104002221365756320e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.919999999999999929e+00,4.935847595369465601e+00,4.935847595369465601e+00,2.291888858290973552e-01,1.031042735206746386e-01,6.415240463053439868e-02,1.031042735206746386e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.939999999999999947e+00,4.940165452528280987e+00,4.940165452528280987e+00,2.158928579407677906e-01,9.622860694580159802e-02,5.983454747171901289e-02,9.622860694580159802e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.959999999999999964e+00,4.944231027613629870e+00,4.944231027613629870e+00,2.032787542674488745e-01,8.975182120757851933e-02,5.576897238637013032e-02,8.975182120757851933e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.979999999999999982e+00,4.948057352107603002e+00,4.948057352107603002e+00,1.913162246986594983e-01,8.365345857955519548e-02,5.194264789239699809e-02,8.365345857955519548e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,4.951656872095855810e+00,4.951656872095855810e+00,1.799759994126531037e-01,7.791397183859549713e-02,4.834312790414418970e-02,7.791397183859549713e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.020000000000000018e+00,4.955041469468995707e+00,4.955041469468995707e+00,1.692298686570094246e-01,7.251469185621628455e-02,4.495853053100429264e-02,7.251469185621628455e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.040000000000000036e+00,4.958222482696414524e+00,4.958222482696414524e+00,1.590506613709591344e-01,6.743779579650643896e-02,4.177751730358547633e-02,6.743779579650643896e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.060000000000000053e+00,4.961210727153002153e+00,4.961210727153002153e+00,1.494122228294010313e-01,6.266627595537821449e-02,3.878927284699784650e-02,6.266627595537821449e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.080000000000000071e+00,4.964016514982472650e+00,4.964016514982472650e+00,1.402893914735106051e-01,5.818390927049676975e-02,3.598348501752735018e-02,5.818390927049676975e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000089e+00,4.966649674484048482e+00,4.966649674484048482e+00,1.316579750787886527e-01,5.397522752629102527e-02,3.335032551595151773e-02,5.397522752629102527e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.120000000000000107e+00,4.969119569012014459e+00,4.969119569012014459e+00,1.234947263983025151e-01,5.002548827392727659e-02,3.088043098798554098e-02,5.002548827392727659e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.140000000000000124e+00,4.971435115380147707e+00,4.971435115380147707e+00,1.157773184066700906e-01,4.632064648197831147e-02,2.856488461985229321e-02,4.632064648197831147e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.160000000000000142e+00,4.973604801765326933e+00,4.973604801765326933e+00,1.084843192589809296e-01,4.284732692977843982e-02,2.639519823467306736e-02,4.284732692977843982e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.180000000000000160e+00,4.975636705106692759e+00,4.975636705106692759e+00,1.015951670682837954e-01,3.959279735200960104e-02,2.436329489330724130e-02,3.959279735200960104e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000178e+00,4.977538507998601425e+00,4.977538507998601425e+00,9.509014459545150899e-02,3.654494233996086194e-02,2.246149200139857527e-02,3.654494233996086194e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.220000000000000195e+00,4.979317515077323897e+00,4.979317515077323897e+00,8.895035393611613883e-02,3.369223800209786290e-02,2.068248492267610317e-02,3.369223800209786290e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.240000000000000213e+00,4.980980668902941666e+00,4.980980668902941666e+00,8.315769128090594320e-02,3.102372738401415475e-02,1.901933109705833402e-02,3.102372738401415475e-02,0.000000000000000000e+00,0.000000000000000000e+00
